storecode,storename,cityName,districtName,address,starttime,endtime,lat,lng
CD1103,攀枝花王府井餐厅,攀枝花,仁和区,三线大道路150号1栋一层铺位号G-1F-P001,10:00,22:00,26.523733,101.738578
CDU032,阳光餐厅,攀枝花,东区,炳草岗江南三路德铭阳光购物中心一层0812-3103971(13550918929),07:00,22:00,26.580142,101.718517
CDU129,金瓯餐厅,攀枝花,东区,炳草岗江南三路金瓯广场A区  电话:0812-3153008(13550918929),00:00,23:59,26.571025,101.726806
CDU381,攀枝花万达餐厅,攀枝花,东区,东区攀枝花市东区机场路123号万达广场一楼肯德基(电话0812-3103157),07:00,23:00,26.564713,101.728088
CDU051,新华餐厅,攀枝花,东区,新华街世贸中心大楼一层(攀枝花中心广场)(0812-3129528)13550918929,00:00,23:59,26.580559,101.714799
CD1103,攀枝花王府井餐厅,攀枝花,仁和区,三线大道路150号1栋一层铺位号G-1F-P001,10:00,22:00,26.523733,101.738578
CDU032,阳光餐厅,攀枝花,东区,炳草岗江南三路德铭阳光购物中心一层0812-3103971(13550918929),07:00,22:00,26.580142,101.718517
CDU129,金瓯餐厅,攀枝花,东区,炳草岗江南三路金瓯广场A区  电话:0812-3153008(13550918929),00:00,23:59,26.571025,101.726806
CDU381,攀枝花万达餐厅,攀枝花,东区,东区攀枝花市东区机场路123号万达广场一楼肯德基(电话0812-3103157),07:00,23:00,26.564713,101.728088
CDU051,新华餐厅,攀枝花,东区,新华街世贸中心大楼一层(攀枝花中心广场)(0812-3129528)13550918929,00:00,23:59,26.580559,101.714799
