storecode,storename,cityName,districtName,address,starttime,endtime,lat,lng
,肯德基(建华店),北京,东城区,王府井大街192号(王府井地铁站E3东北口步行50米),,,39.911225,116.411471
,肯德基(珠市口大街店),北京,东城区,珠市口东大街19号一层(珠市口地铁站C东南口步行200米),,,39.892181,116.400727
,肯德基(宽街店),北京,东城区,张自忠路10号华人大厦西侧首层,,,39.933127,116.410154
,肯德基(搜秀店),北京,东城区,崇文门外大街40号搜秀城F1,,,39.897034,116.419437
,肯德基(磁器口店),北京,东城区,崇文门外大街11号新成文化大厦南侧F1+F2,,,39.893863,116.41835
,肯德基(北京南站十店),北京,丰台区,北京南站高架层B岛北二层,,,39.866118,116.378528
,肯德基(京广桥店),北京,朝阳区,呼家楼京广中心首层(呼家楼地铁站D西南口步行100米),,,39.921249,116.461107
,肯德基(地安门店),北京,西城区,地安门外大街178号(什刹海地铁站C东南口步行410米),,,39.93386,116.396428
,肯德基(百环店),北京,朝阳区,广渠路南侧44号北人泽洋大厦1、2层,,,39.888933,116.461998
,肯德基(日坛路店),北京,朝阳区,雅宝路1号国雅大厦一层1001及地下一层B1-001,,,39.91591,116.440353
,肯德基(崇文门店),北京,东城区,崇文门外大街3-5号新世界百货崇文店综合馆F1层,,,39.899014,116.417912
,肯德基(万惠店),北京,朝阳区,金台里甲15号,,,39.91699,116.477699
,肯德基(东单店),北京,东城区,东单北大街63号(东单地铁站F东北口步行390米),,,39.912068,116.417727
,肯德基(羊坊店),北京,海淀区,复兴路12号恩菲科技大厦(军事博物馆地铁站G东南口旁),,,39.906093,116.32161
,肯德基(新大钟寺店),北京,海淀区,四道口北街36号1层(大钟寺地铁站B西南口步行250米),,,39.965149,116.342603
,肯德基(京开西路DT店),北京,丰台区,纪家庙8号21号楼(天丰大厦)一层,,,39.847153,116.33382
,肯德基(牡丹园店),北京,海淀区,北土城西路151号翠微百货(牡丹园店)1F层,,,39.977172,116.366451
,肯德基(朝阳门店),北京,朝阳区,朝阳门外大街19号华普大厦(一层东侧),,,39.924645,116.439231
,肯德基(前门店),北京,西城区,前门西大街正阳市场1号楼中部,,,39.899662,116.395034
,肯德基(双龙店),北京,朝阳区,双龙南里204号,,,39.87101,116.477828
,肯德基(甘家口店),北京,西城区,百万庄大街41号华德商都写字楼北侧1-2层,,,39.928724,116.334597
,肯德基(建国路店),北京,朝阳区,建国路甲92号世贸大厦1层105号,,,39.908076,116.472069
,肯德基(方庄店)(暂停营业),北京,丰台区,蒲方路26号(蒲黄榆地铁站G东南口步行330米),,,39.865528,116.428068
,肯德基(白广路店),北京,西城区,广安门内白广路北口综合服务楼2楼首层(菜百店),,,39.889033,116.357986
,肯德基(北新桥店),北京,东城区,东直门内大街277号(北新桥地铁站B东北口步行70米),,,39.941532,116.416928
,肯德基(东大桥店),北京,朝阳区,朝外大街东大桥路1号楼(东大桥地铁站A西北口步行230米),,,39.923381,116.449076
,肯德基(十里河店),北京,朝阳区,东三环瑞安大厦F1+F2(十里河地铁站A东北口步行100米),,,39.86655,116.460075
,肯德基(西环嘉茂店),北京,西城区,西直门外大街1号西区商业凯德MALL西直门B1层4647B48地下一层,,,39.94208,116.353444
,肯德基(光彩路店),北京,丰台区,光彩路慧时欣园10号楼一层,,,39.847004,116.414229
,肯德基(京源店),北京,朝阳区,左家庄新源街24号,,,39.951371,116.455977
,肯德基(六里桥首开店),北京,丰台区,西站南路1号,,,39.888149,116.320649
,肯德基(木樨园店),北京,东城区,永定门外大街101号百荣世贸商城南侧,,,39.859231,116.398356
,肯德基(金融街店),北京,西城区,金融街中心广场,,,39.917041,116.36216
,肯德基(世贸天阶店),北京,朝阳区,光华路9号2号楼地下一层-01商业内B102号,,,39.916923,116.451145
,肯德基(西站南广场二号店),北京,丰台区,太平桥街道广莲路11号,,,39.892984,116.322127
,肯德基(广华新城店),北京,朝阳区,广泰东路1号院广华里B栋L1层L106,,,39.891171,116.49487
,肯德基(三里河店),北京,西城区,月坛南街乙71号,,,39.914171,116.33992
,肯德基(新发地店),北京,丰台区,丰台南路阳光大厦1层(工行西侧),,,39.823335,116.336826
,肯德基(奥体北路店),北京,朝阳区,安定路5号院20号楼地下一层(B1-12)号,,,39.978989,116.398972
,肯德基(白石桥店),北京,海淀区,中关村南大街甲58号家乐福超市1层西侧,,,39.939083,116.329562
,肯德基(马家堡店),北京,丰台区,时代风帆大厦东南门旁(角门西地铁站A1西北口旁),,,39.846343,116.370541
,肯德基(北京南站六店),北京,丰台区,北京南站二层旅客出发层西南角23B检票口旁,,,39.866118,116.378528
,肯德基(永安里东街店),北京,朝阳区,建国门外大街8号国际财源中心地下一层B112号,,,39.907812,116.452984
,肯德基(广安门荣丰店),北京,西城区,广安门外大街305号八区,,,39.893292,116.335681
,肯德基(西坝河店),北京,朝阳区,西坝河西里23号一层部分(光熙门地铁站B东口步行490米),,,39.968927,116.436082
,肯德基(阜成路店),北京,海淀区,阜成路23号一层,,,39.924661,116.316414
,肯德基(宵云路店),北京,朝阳区,霄云路27号中国庆安大厦首层西侧,,,39.95916,116.464685
,肯德基(新华侨城店),北京,朝阳区,金蝉欢乐园2号院甲1号楼一层W-F1-01,,,39.86648,116.500664
,肯德基(复兴门店),北京,西城区,复兴门外大街8号楼裙楼2层,,,39.906884,116.348085
,肯德基(安定门店),北京,东城区,安定门外大街西河沿13号楼,,,39.951219,116.407756
,肯德基(长安商场店),北京,西城区,复兴门外大街15号长安商场1F层,,,39.907954,116.345978
,肯德基(西罗园店),北京,丰台区,西罗园四社区西门南50米,,,39.861547,116.387189
,肯德基(蓝桥店),北京,朝阳区,蓝桥餐厅工体北路11-1号(工人体育场地铁站D口旁),,,39.9341,116.451445
,肯德基(大羊坊路KFC),北京,朝阳区,十八里店乡大羊坊路段西侧37号1F-005号,,,39.855819,116.476384
,肯德基(北京南站十三店),北京,丰台区,北京南站换乘层东侧BJN-HD19,,,39.865825,116.378678
,肯德基(靛厂路店),北京,丰台区,蓝靛厂路千禧商业街2号楼一、二层,,,39.88992,116.28383
,肯德基(华熙LIVE·五棵松店),北京,海淀区,复兴路69号五棵松冰上运动中心,,,39.909278,116.281933
,肯德基(花园路店),北京,海淀区,花园北路44号贯通大厦一层,,,39.981425,116.360025
,肯德基(北京南站8店),北京,丰台区,永外大街12号北京南站2层15-16检票口,,,39.864546,116.379126
,肯德基(成寿寺店),北京,丰台区,成寿寺路甲2号新业广场1层A112、2层A206,,,39.857532,116.447594
,肯德基(建筑大厦店),北京,海淀区,翠微路甲10号,,,39.913261,116.302709
